"otherChangesBeforeSpaceUseChange","maxIgisPerGroupBeforeSpaceChange","groupNumber","changeDate","emdOfChangeShortPeriod","emdOfChange","nDominanceChanges","diffAdultsAndSubAdults","realChange"
0,0,2,2015-12-24,221.702735739323,NA,0,0,FALSE
0,0,3,2016-02-05,72.8252648823436,NA,0,-0.75,FALSE
0,1,2,2016-02-26,729.6886674475,NA,0,-2.5,FALSE
0,0,20,2016-03-25,89.9534705248155,NA,0,0,FALSE
0,1,20,2016-04-29,142.802207875185,NA,0,-0.333333333333334,FALSE
0,0,5,2016-08-05,75.2930501173357,NA,0,-1.63888888888889,FALSE
0,1,14,2016-09-23,589.787717894479,NA,0,-0.285714285714286,FALSE
0,1,11,2003-04-29,1068.85740724365,1554.56074009,0,0,TRUE
0,2,1,2005-11-26,613.466319277713,599.370592095001,0,-0.523809523809526,TRUE
1,2,12,2005-11-27,617.073509657576,791.9115029825,0,-0.277777777777779,TRUE
0,0,21,2006-01-22,855.515800001752,788.771387245001,1,-2.96428571428571,TRUE
1,4,3,2006-04-01,803.63117121625,642.2821432175,0,2.91666666666666,TRUE
1,0,8,2006-04-01,1777.77429153448,1823.8994921575,0,0.125,TRUE
0,0,9,2006-06-17,1165.66757213957,1808.3446238425,0,NA,TRUE
0,4,10,2006-07-29,463.496993503645,435.896335642232,0,-0.666666666666666,TRUE
0,3,11,2007-04-08,1112.79730319483,1167.9108732275,0,-1.71428571428572,TRUE
0,0,12,2008-01-01,1767.62966662699,1910.6714057825,0,0.0999999999999996,TRUE
1,1,6,2008-01-08,1063.12597683613,845.047456872501,0,-1.25,TRUE
0,2,15,2008-12-18,506.772343649637,476.285569650001,0,-1.61111111111111,TRUE
0,1,19,2010-02-26,818.630679532856,1070.6882110475,0,0.714285714285715,TRUE
0,1,6,2010-06-10,1343.21064630406,1158.6848014225,0,-0.444444444444443,TRUE
0,1,19,2011-03-11,926.18251729875,1492.1680373375,0,-0.873015873015873,TRUE
1,0,6,2011-04-01,446.589831881537,832.921432292502,1,3.11904761904762,TRUE
